date,distance_m,time_sec,elevation_gain,avg_heartrate,max_heartrate,avg_speed_ms,distance_km,pace_min_km
2026-03-03T18:13:34Z,3272.2,808,21.4,162.1,169.0,4.05,3.2721999999999998,4.115477864026242
2026-02-28T12:38:08Z,4959.9,1841,13.4,146.1,152.0,2.694,4.959899999999999,6.1862806373784425
2026-02-15T20:19:48Z,1653.0,424,0.0,166.5,178.0,3.899,1.653,4.275055454728776
2026-02-14T13:37:02Z,14013.1,4879,88.2,140.9,154.0,2.872,14.0131,5.802903473654414
2026-02-08T18:53:28Z,3023.2,909,11.2,151.6,156.0,3.326,3.0231999999999997,5.011246361471289
2026-02-04T14:55:07Z,5760.3,1606,22.2,162.7,171.0,3.587,5.7603,4.646748722578106
2026-01-25T16:50:53Z,5064.0,1869,39.2,142.6,147.0,2.709,5.064,6.15126382306477
2026-01-20T16:22:40Z,5049.9,1392,34.6,154.8,158.0,3.628,5.0499,4.59415037921543
2026-01-15T08:17:02Z,5003.2,1573,29.2,150.3,182.0,3.181,5.0032,5.239979746295704
2026-01-12T19:23:58Z,4016.2,1091,28.8,147.0,147.0,3.681,4.0161999999999995,4.527496970602394
2026-01-10T23:20:58Z,4011.7,1866,18.4,127.3,159.0,2.15,4.011699999999999,7.752324450980883
2026-01-03T16:10:12Z,5055.3,1674,0.0,154.8,172.0,3.02,5.0553,5.518960299092042
2025-12-26T12:15:41Z,5022.9,1376,33.4,157.1,160.0,3.65,5.0229,4.565755506447139
2025-12-19T18:58:12Z,4019.3,1196,23.0,161.5,168.0,3.361,4.0193,4.95940420802959
2025-12-13T14:27:16Z,5124.0,1782,35.8,148.0,161.0,2.875,5.124,5.796252927400468
2025-12-06T22:26:52Z,4037.8,1146,26.6,148.9,169.0,3.523,4.0378,4.730298677497648
2025-11-30T10:21:21Z,4165.3,1455,28.0,158.9,170.0,2.863,4.1653,5.82190958634432
2025-11-21T23:59:46Z,4024.7,1187,15.6,163.0,172.0,3.391,4.0247,4.9154802428338344
2025-11-20T20:38:09Z,4012.4,1190,25.0,155.9,163.0,3.372,4.0124,4.943010002326122
2025-11-16T18:24:03Z,5601.2,1963,20.0,139.8,151.0,2.853,5.6011999999999995,5.8410102597062545
2025-11-14T18:49:01Z,4103.7,1317,0.0,149.1,177.0,3.116,4.1037,5.348831542266735
2025-11-12T23:13:57Z,4022.7,1778,0.0,121.4,143.0,2.262,4.0226999999999995,7.3665282853141765
2025-11-11T18:39:35Z,4068.5,1424,24.2,149.1,155.0,2.857,4.0685,5.833435746180001
2025-11-10T18:33:04Z,4028.1,1159,16.2,159.7,168.0,3.476,4.0281,4.795478430691062
2025-11-07T19:30:09Z,4583.7,1408,27.8,162.0,171.0,3.255,4.583699999999999,5.119590432765379
2025-11-05T21:59:21Z,4186.9,1699,0.0,150.5,181.0,2.464,4.1869,6.763158104245783
2025-11-02T12:08:43Z,13189.5,5951,139.8,135.8,157.0,2.216,13.1895,7.5198706041421834
2025-11-01T20:51:36Z,4009.3,1312,23.4,143.0,150.0,3.056,4.0093000000000005,5.453986148870542
2025-10-31T18:54:30Z,5539.7,1775,117.8,158.7,170.0,3.121,5.5397,5.340241047950852
2025-10-27T18:45:53Z,4117.8,1802,40.0,127.2,139.0,2.285,4.1178,7.29353862094646
2025-10-25T10:30:00Z,10146.5,2461,88.6,171.6,178.0,4.116,10.1465,4.042444849619738
2025-10-19T22:48:13Z,4139.0,1420,0.0,148.0,182.0,2.915,4.139,5.717967302891197
2025-10-18T11:19:27Z,4250.0,1079,33.8,170.9,179.0,3.939,4.25,4.231372549019608
2025-10-15T16:13:04Z,4067.6,1194,24.4,146.8,155.0,3.407,4.0676,4.89231979545678
2025-10-10T18:48:27Z,4053.1,1268,27.6,156.7,165.0,3.196,4.0531,5.214115944174418
2025-10-07T20:36:12Z,4021.6,1178,20.6,142.6,162.0,3.414,4.0216,4.8819706915987
2025-10-06T16:30:39Z,4011.3,1060,30.6,164.6,184.0,3.784,4.0113,4.404224731799333
2025-10-05T15:22:50Z,4252.9,1200,35.0,158.9,170.0,3.544,4.2528999999999995,4.70267346986762
2025-10-04T16:03:44Z,5231.8,1440,20.0,147.0,171.0,3.633,5.2318,4.587331320004587
2025-10-02T22:54:19Z,4446.9,1316,95.2,158.6,164.0,3.379,4.446899999999999,4.932274918107746
2025-09-30T19:36:01Z,4010.7,1142,16.6,155.7,168.0,3.512,4.0107,4.745638749677945
2025-09-29T18:09:25Z,4355.9,1250,26.8,160.6,175.0,3.485,4.355899999999999,4.782785034856938
2025-09-25T19:13:39Z,4290.8,1469,42.0,146.4,180.0,2.921,4.2908,5.70600664988658
2025-09-21T18:18:52Z,4027.3,1186,35.4,166.5,178.0,3.396,4.0273,4.908168417219145
2025-09-20T16:00:03Z,4453.7,1239,40.4,167.9,186.0,3.595,4.4536999999999995,4.636594292386106
2025-09-18T17:35:44Z,4152.7,1103,31.2,171.3,186.0,3.765,4.152699999999999,4.426838763535371
2025-09-17T18:08:45Z,4051.2,1189,32.4,162.2,178.0,3.407,4.0512,4.8915547656661404
2025-09-12T18:48:08Z,4028.2,1166,30.8,167.5,183.0,3.455,4.0282,4.824321864190789
2025-09-10T17:48:27Z,4042.2,1171,30.8,126.9,145.0,3.452,4.0422,4.8282288522751635
2025-09-06T12:13:19Z,4748.0,1220,3.0,155.3,192.0,3.892,4.748,4.282504914349901
2025-09-05T22:21:15Z,1457.0,319,11.0,141.4,161.0,4.567,1.457,3.6490505605124683
2025-08-29T08:01:40Z,4160.0,1194,20.8,140.0,172.0,3.484,4.16,4.783653846153846
2025-08-22T19:23:42Z,4115.1,1789,37.2,135.2,149.0,2.3,4.1151,7.245672442143974
2025-08-20T17:28:03Z,4324.7,1208,32.2,155.5,179.0,3.58,4.3247,4.655428892948258
2025-08-18T19:08:03Z,6055.7,2018,32.2,141.6,179.0,3.001,6.0557,5.553995959729401
2025-08-17T09:50:29Z,4081.5,1127,30.2,161.0,170.0,3.622,4.0815,4.602066233819266
2025-08-15T19:50:05Z,4255.1,1323,43.6,167.4,180.0,3.216,4.2551000000000005,5.182016873869004
2025-08-14T18:08:47Z,4239.7,1157,44.8,161.4,186.0,3.664,4.2397,4.548277786950335
2025-08-12T07:20:21Z,4053.6,1126,28.8,147.0,165.0,3.6,4.0536,4.629629629629629
2025-08-11T07:43:08Z,4077.2,1051,40.0,163.9,180.0,3.879,4.0771999999999995,4.29624905981229
2025-08-08T19:52:27Z,4433.4,1222,35.0,151.8,170.0,3.628,4.4334,4.593915880964197
2025-08-07T18:13:30Z,4350.4,1157,38.8,120.1,164.0,3.76,4.3504,4.432542601446611
2025-08-06T19:52:08Z,4046.1,1114,26.2,163.5,168.0,3.632,4.0461,4.588780966033135
2025-08-03T18:36:27Z,4153.7,1155,30.4,164.2,180.0,3.596,4.1537,4.634422322266895
2025-08-02T13:15:20Z,5012.0,1190,45.6,96.0,96.0,4.212,5.012,3.9571694599627563
2025-07-29T19:09:56Z,4240.6,1489,0.0,165.2,182.0,2.848,4.240600000000001,5.85215928563568
2025-07-28T16:51:30Z,4053.8,1101,31.4,152.4,181.0,3.682,4.0538,4.526617001332084
2025-07-26T12:58:31Z,4378.4,1201,36.0,159.3,168.0,3.646,4.3784,4.57168524270662
2025-07-25T19:29:02Z,4058.0,1169,38.0,158.8,167.0,3.471,4.058,4.801215705602103
2025-07-23T13:08:38Z,4113.5,1094,19.0,160.0,162.0,3.76,4.1135,4.432559458692921
2025-07-05T14:01:37Z,5014.7,1453,0.0,144.0,178.0,3.451,5.0146999999999995,4.829135674450449
2025-06-29T17:42:04Z,4662.7,1793,30.2,139.7,150.0,2.6,4.6627,6.4090190948020105
2025-06-25T13:02:38Z,2121.1,593,14.0,146.1,160.0,3.577,2.1210999999999998,4.659532003834489
2025-06-25T12:34:09Z,2253.4,731,15.0,148.1,153.0,3.083,2.2534,5.40664477382326
2025-06-22T17:43:38Z,2990.3,705,22.2,120.0,148.0,4.242,2.9903000000000004,3.9293716349530143
2025-06-18T18:34:20Z,5454.4,1475,32.2,177.7,189.0,3.698,5.4544,4.507064632834654
2025-06-10T17:19:31Z,6094.2,2146,82.0,173.0,187.0,2.84,6.0942,5.868968308665069
2025-06-06T17:57:32Z,3214.8,1339,28.4,157.9,165.0,2.401,3.2148000000000003,6.941852266600306
2025-06-03T18:44:59Z,2654.8,876,13.6,166.5,178.0,3.031,2.6548000000000003,5.499472653307216
2025-06-03T18:30:39Z,3493.0,838,26.6,164.6,173.0,4.168,3.493,3.99847313674969
2025-05-31T18:38:32Z,5464.5,2006,38.0,147.9,183.0,2.724,5.4645,6.118278586024948
2025-05-25T17:44:11Z,10009.0,3444,28.6,153.8,170.0,2.906,10.009,5.734838645219302
2025-05-21T10:49:52Z,5178.3,1272,37.6,164.5,176.0,4.071,5.1783,4.094007685920089
2025-05-17T18:40:24Z,5430.8,1966,42.0,153.3,173.0,2.762,5.4308000000000005,6.03348800667796
2025-05-16T19:25:43Z,4873.7,1395,38.6,164.7,177.0,3.494,4.8736999999999995,4.770502903338326
2025-05-08T07:36:31Z,2496.8,669,26.0,154.3,167.0,3.732,2.4968000000000004,4.465716116629285
2025-05-08T07:19:09Z,2624.6,703,9.6,,,3.733,2.6246,4.464172318321522
2025-05-05T09:22:31Z,2066.3,501,3.0,,,4.124,2.0663,4.041039539273097
2025-04-27T17:14:44Z,10000.8,3099,57.2,,,3.227,10.0008,5.164586833053356
2025-04-25T17:13:21Z,3106.4,1348,19.1,,,2.304,3.1064000000000003,7.232380461842217
2025-04-20T18:05:30Z,2238.3,610,3.8,,,3.669,2.2383,4.542137634216443
2025-04-20T17:01:15Z,7110.4,1883,34.2,,,3.776,7.110399999999999,4.413722622262227
2025-04-13T15:04:02Z,10750.5,3929,73.2,,,2.736,10.7505,6.091189557074864
2025-04-10T18:04:17Z,6479.3,2335,17.3,,,2.775,6.4793,6.00630726570257
2025-03-30T14:24:02Z,17220.7,4829,135.4,,,3.566,17.2207,4.673638895824985
2025-03-21T12:53:38Z,5782.5,1616,34.6,,,3.578,5.7825,4.657731661622712
2025-03-16T11:46:06Z,7066.5,1872,31.5,,,3.775,7.0665,4.415198471662068
2025-03-08T11:35:42Z,5015.0,1179,19.3,,,4.254,5.015,3.918245264207378
2025-03-02T14:25:48Z,2003.6,535,2.2,,,3.745,2.0036,4.4503227523790505
2025-03-02T14:00:58Z,3004.0,776,6.2,,,3.871,3.004,4.305370616955171
2025-02-28T17:46:09Z,7713.2,2843,48.2,,,2.713,7.7132,6.1431485418935505
2025-02-23T16:56:29Z,10000.5,3306,50.3,,,3.025,10.0005,5.509724513774311
2025-02-19T18:43:02Z,4004.9,1202,16.5,,,3.332,4.0049,5.002205631434826
2025-02-14T15:10:01Z,5323.2,1453,18.3,,,3.664,5.3232,4.549268610359683
2025-02-07T17:44:52Z,6398.8,2302,47.8,,,2.78,6.3988000000000005,5.995915900898084
2025-01-29T18:58:32Z,4633.5,2048,0.0,,,2.262,4.6335,7.36664148771627
2025-01-29T18:58:18Z,991.6,390,2.2,,,2.543,0.9916,6.5550625252117785
2025-01-23T19:22:20Z,1896.8,637,10.4,,,2.978,1.8968,5.597146070575004
2025-01-17T16:54:07Z,3007.0,826,2.2,,,3.64,3.007,4.578206407271921
2025-01-09T18:28:05Z,6544.8,2398,39.1,,,2.729,6.5448,6.106629181436662
2024-12-27T07:28:51Z,6231.4,1660,71.3,,,3.754,6.2314,4.439879748799093
2024-12-21T14:53:54Z,5370.7,1713,30.2,,,3.135,5.3707,5.315880611465917
2024-11-29T19:45:03Z,5157.2,1440,25.6,,,3.581,5.1572,4.653688047777864
2024-11-27T18:21:08Z,3310.3,928,15.3,,,3.567,3.3103000000000002,4.672285492754936
2024-11-08T18:18:13Z,3752.9,1270,31.6,,,2.955,3.7529,5.640082780427581
2024-10-26T16:36:48Z,4514.3,1284,30.0,,,3.516,4.5143,4.74049132755909
2024-10-18T09:51:24Z,4677.9,1302,29.1,,,3.593,4.677899999999999,4.638833664678596
2024-10-05T09:15:36Z,7598.1,2475,46.9,,,3.07,7.5981000000000005,5.4289888261539065
2024-09-28T09:16:12Z,7040.4,2311,41.5,,,3.046,7.0404,5.470806582959302
2024-09-25T19:28:03Z,2849.0,807,8.3,,,3.53,2.849,4.720954720954721
2024-09-21T10:06:20Z,3638.7,1114,19.5,,,3.266,3.6386999999999996,5.1025549417832385
2024-09-21T09:20:08Z,6074.3,1962,30.8,,,3.096,6.0743,5.383336351513755
2024-09-16T06:04:10Z,5260.4,1503,34.7,,,3.5,5.2604,4.7619952855296175
2024-08-24T10:11:49Z,14995.0,4876,133.9,,,3.075,14.995,5.419584305879738
2024-08-19T19:08:26Z,5818.7,1622,35.0,,,3.587,5.8187,4.645940387600897
2024-08-12T19:09:16Z,4533.4,1176,27.4,,,3.855,4.533399999999999,4.3234658313848335
2024-08-03T10:10:19Z,8856.2,2849,32.2,,,3.109,8.856200000000001,5.361592255519673
2024-07-30T16:54:10Z,8378.7,2347,51.4,,,3.57,8.3787,4.668584227465677
2024-07-29T19:05:56Z,9416.2,2958,58.8,,,3.183,9.4162,5.235657696310613
2024-07-24T19:03:56Z,5023.9,1332,41.9,,,3.772,5.023899999999999,4.41887776428671
2024-07-21T10:19:45Z,14776.0,4338,172.0,,,3.406,14.776,4.89306984298863
2024-07-18T16:36:33Z,6647.9,1809,44.8,,,3.675,6.6479,4.5352667759743674
2024-07-13T11:33:02Z,8340.4,2304,48.2,,,3.62,8.340399999999999,4.604095726823654
2024-06-30T13:19:54Z,6035.2,1800,38.2,,,3.353,6.0352,4.97083775185578
2024-06-23T16:38:22Z,11106.0,3271,72.0,,,3.395,11.106,4.908758028693199
2024-06-20T17:00:12Z,6319.8,1681,19.3,,,3.76,6.3198,4.43315716742091
2024-06-15T16:21:16Z,5636.0,1637,109.7,,,3.443,5.636,4.840903714218122
2024-06-13T17:48:53Z,10004.2,2835,69.4,,,3.529,10.0042,4.723016333140081
2024-06-06T18:48:47Z,5085.1,1330,24.1,,,3.823,5.085100000000001,4.359140757638329
2022-07-04T17:14:02Z,2521.2,783,17.8,,,3.22,2.5212,5.176106615897193
2022-02-01T16:14:59Z,4468.4,1785,38.7,,,2.503,4.4684,6.657864112433981
2021-04-05T16:24:12Z,3046.5,1062,30.6,,,2.869,3.0465,5.809945839487937
